location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
D15,10-10-2016 10:45:18,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200
K04,10-10-2016 10:50:10,-200,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K03,10-10-2016 10:50:12,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K03,10-10-2016 10:50:14,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K03,10-10-2016 10:50:16,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-10-2016 10:50:18,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K01,10-10-2016 10:50:20,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
K01,10-10-2016 10:50:22,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:50:24,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:50:26,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
D15,10-10-2016 10:50:28,-200,-200,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200
I10,10-10-2016 10:50:30,-200,-200,-200,-200,-200,-77,-200,-73,-200,-81,-200,-200,-200
I10,10-10-2016 10:50:32,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200
I10,10-10-2016 10:50:34,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200
I09,10-10-2016 10:50:36,-200,-85,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200
I09,10-10-2016 10:50:38,-200,-200,-200,-200,-76,-200,-200,-65,-200,-200,-200,-200,-200
I09,10-10-2016 10:50:40,-200,-200,-200,-200,-74,-78,-200,-71,-200,-200,-200,-200,-200
I09,10-10-2016 10:50:42,-78,-198,-200,-200,-73,-200,-200,-67,-200,-200,-200,-200,-200
I08,10-10-2016 10:50:44,-79,-198,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
I08,10-10-2016 10:50:46,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:50:48,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:50:50,-81,-198,-200,-200,-76,-200,-200,-74,-200,-200,-200,-200,-200
I08,10-10-2016 10:50:52,-81,-198,-200,-200,-73,-84,-200,-77,-200,-200,-200,-200,-200
I07,10-10-2016 10:50:54,-81,-198,-200,-200,-78,-200,-200,-77,-200,-200,-200,-200,-200
I07,10-10-2016 10:50:56,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
I07,10-10-2016 10:50:58,-78,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I07,10-10-2016 10:51:00,-200,-74,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
I03,10-10-2016 10:51:02,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I03,10-10-2016 10:51:04,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
I03,10-10-2016 10:51:06,-200,-69,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200
O02,10-10-2016 10:51:08,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
O02,10-10-2016 10:51:10,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
O01,10-10-2016 10:51:12,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:14,-200,-200,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:16,-200,-200,-72,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:18,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:20,-200,-200,-78,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:22,-200,-200,-76,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
N02,10-10-2016 10:51:24,-200,-200,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:26,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:28,-200,-200,-79,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:30,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:32,-200,-80,-79,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:34,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
N01,10-10-2016 10:51:36,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:38,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:40,-200,-200,-75,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:42,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:44,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:46,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:48,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
M02,10-10-2016 10:51:50,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
M01,10-10-2016 10:51:52,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
M01,10-10-2016 10:51:54,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
M01,10-10-2016 10:51:56,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
M01,10-10-2016 10:51:58,-200,-200,-76,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
M01,10-10-2016 10:52:00,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L02,10-10-2016 10:52:02,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
L02,10-10-2016 10:52:04,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
L02,10-10-2016 10:52:06,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
L01,10-10-2016 10:52:08,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-10-2016 10:52:10,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-10-2016 10:52:12,-200,-200,-80,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
K02,10-10-2016 10:52:14,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-10-2016 10:52:16,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-10-2016 10:52:18,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K01,10-10-2016 10:52:20,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:52:22,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:52:24,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:52:26,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:52:28,-200,-71,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:30,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:32,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:34,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:36,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:38,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:52:40,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:52:42,-200,-78,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:52:44,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:52:46,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
J01,10-10-2016 10:52:48,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:52:50,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:52:52,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:52:54,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:52:56,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:52:58,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:53:00,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I03,10-10-2016 10:53:02,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:53:04,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:53:06,-200,-77,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:53:08,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
I02,10-10-2016 10:53:10,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:53:12,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:53:14,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I01,10-10-2016 10:53:16,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J08,10-10-2016 10:53:18,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
J08,10-10-2016 10:53:20,-200,-200,-200,-200,-72,-200,-200,-80,-200,-200,-200,-200,-200
J08,10-10-2016 10:53:22,-200,-83,-200,-200,-74,-200,-200,-75,-200,-200,-200,-200,-200
J07,10-10-2016 10:53:24,-200,-80,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:53:26,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:53:28,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:53:30,-200,-200,-200,-200,-74,-80,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:53:32,-200,-74,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:53:34,-200,-71,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:53:36,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J06,10-10-2016 10:53:38,-200,-72,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:53:40,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:53:42,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:53:44,-200,-77,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:46,-200,-76,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:48,-200,-74,-200,-200,-78,-200,-200,-81,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:50,-200,-78,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:52,-80,-198,-200,-200,-80,-200,-200,-79,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:54,-78,-198,-200,-200,-78,-200,-200,-77,-200,-200,-200,-200,-200
I08,10-10-2016 10:53:56,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200
I07,10-10-2016 10:53:58,-200,-76,-200,-200,-81,-200,-200,-78,-200,-200,-200,-200,-200
I06,10-10-2016 10:54:00,-200,-81,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:54:02,-200,-81,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:54:04,-200,-76,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:54:06,-200,-75,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
I05,10-10-2016 10:54:08,-200,-73,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
I05,10-10-2016 10:54:10,-200,-79,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
I05,10-10-2016 10:54:12,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I04,10-10-2016 10:54:14,-200,-73,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
I03,10-10-2016 10:54:16,-200,-72,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
I08,10-10-2016 10:54:18,-73,-198,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200
I07,10-10-2016 10:54:20,-200,-80,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
I07,10-10-2016 10:54:22,-200,-200,-200,-200,-72,-200,-84,-200,-200,-200,-200,-200,-200
I07,10-10-2016 10:54:24,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
I07,10-10-2016 10:54:26,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
W15,10-10-2016 10:54:28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75
W15,10-10-2016 10:54:30,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-199,-67
W15,10-10-2016 10:54:32,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-199,-71
W15,10-10-2016 10:54:34,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75
W15,10-10-2016 10:54:36,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-199,-62
W15,10-10-2016 10:54:38,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-199,-61
T15,10-10-2016 10:54:40,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-81
T15,10-10-2016 10:54:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76
R15,10-10-2016 10:54:44,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200
R15,10-10-2016 10:54:46,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-79
R15,10-10-2016 10:54:48,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-200
R15,10-10-2016 10:54:50,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-66,-200
L15,10-10-2016 10:54:52,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200
L15,10-10-2016 10:54:54,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-82,-200
L15,10-10-2016 10:54:56,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-81,-81
L15,10-10-2016 10:54:58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-79,-200
L15,10-10-2016 10:55:00,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200
J15,10-10-2016 10:55:02,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-75,-200,-200
J15,10-10-2016 10:55:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-85,-200,-200
G15,10-10-2016 10:55:06,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
G15,10-10-2016 10:55:08,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
E15,10-10-2016 10:55:10,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200
E15,10-10-2016 10:55:12,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
D15,10-10-2016 10:55:14,-200,-200,-200,-200,-200,-200,-200,-200,-58,-200,-200,-200,-200
D15,10-10-2016 10:55:16,-200,-200,-200,-200,-200,-200,-200,-200,-58,-200,-200,-200,-200
D15,10-10-2016 10:55:18,-200,-200,-200,-200,-200,-200,-200,-200,-55,-200,-200,-200,-200
D15,10-10-2016 10:55:20,-200,-200,-200,-200,-200,-200,-200,-200,-56,-200,-200,-200,-200
J10,10-10-2016 10:55:22,-200,-200,-200,-200,-77,-200,-200,-64,-200,-200,-200,-200,-200
J10,10-10-2016 10:55:24,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200
I10,10-10-2016 10:55:26,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200
I10,10-10-2016 10:55:28,-200,-200,-200,-200,-78,-200,-200,-70,-200,-200,-200,-200,-200
I10,10-10-2016 10:55:30,-200,-200,-200,-200,-200,-200,-200,-72,-200,-80,-200,-200,-200
I10,10-10-2016 10:55:32,-200,-200,-200,-200,-200,-200,-200,-68,-200,-81,-200,-200,-200
I07,10-10-2016 10:55:34,-200,-200,-200,-200,-74,-200,-200,-79,-200,-200,-200,-200,-200
I07,10-10-2016 10:55:36,-200,-79,-200,-200,-68,-200,-200,-77,-200,-200,-200,-200,-200
I07,10-10-2016 10:55:38,-200,-82,-200,-200,-68,-200,-200,-83,-200,-200,-200,-200,-200
I07,10-10-2016 10:55:40,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:55:42,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:55:44,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200
J07,10-10-2016 10:55:46,-200,-200,-200,-200,-60,-200,-200,-78,-200,-200,-200,-200,-200
J07,10-10-2016 10:55:48,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:55:50,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J02,10-10-2016 10:55:52,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:55:54,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:55:56,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:55:58,-200,-59,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
J04,10-10-2016 10:56:00,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I04,10-10-2016 10:56:02,-200,-73,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
I04,10-10-2016 10:56:04,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,10-10-2016 10:56:06,-68,-198,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,10-10-2016 10:56:08,-71,-198,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:10,-200,-67,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:12,-200,-69,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:14,-200,-70,-200,-200,-81,-200,-200,-79,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:16,-200,-70,-200,-200,-73,-200,-200,-82,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:18,-200,-74,-200,-200,-80,-200,-200,-80,-200,-200,-200,-200,-200
I06,10-10-2016 10:56:20,-200,-74,-200,-200,-80,-200,-200,-78,-200,-200,-200,-200,-200
J06,10-10-2016 10:56:22,-200,-72,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200
J06,10-10-2016 10:56:24,-200,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
